State,Year,Month,ActivityLevel,ActivityLevelLabel
Alabama,2015,11,1,Minimal
Alabama,2015,12,1,Minimal
Alabama,2014,11,1,Minimal
Alabama,2014,12,9,High
Alabama,2015,1,9,High
Alabama,2015,2,6,Moderate
Alabama,2015,3,9,High
Alabama,2015,4,1,Minimal
Alabama,2015,5,1,Minimal
Alabama,2015,6,1,Minimal
Alabama,2015,7,1,Minimal
Alabama,2015,8,1,Minimal
Alabama,2015,9,1,Minimal
Alabama,2015,10,1,Minimal
Alabama,2013,11,3,Minimal
Alabama,2013,12,10,High
Alabama,2014,1,10,High
Alabama,2014,2,8,High
Alabama,2014,3,1,Minimal
Alabama,2014,3,1,Minimal
Alabama,2014,5,1,Minimal
Alabama,2014,5,1,Minimal
Alabama,2014,6,1,Minimal
Alabama,2014,8,1,Minimal
Alabama,2014,8,1,Minimal
Alabama,2014,9,1,Minimal
Alabama,2012,11,1,Minimal
Alabama,2012,12,10,High
Alabama,2013,1,10,High
Alabama,2013,2,7,Moderate
Alabama,2013,3,4,Low
Alabama,2013,3,2,Minimal
Alabama,2013,5,1,Minimal
Alabama,2013,6,1,Minimal
Alabama,2013,6,1,Minimal
Alabama,2013,8,1,Minimal
Alabama,2013,8,1,Minimal
Alabama,2013,9,1,Minimal
Alabama,2011,11,3,Minimal
Alabama,2011,12,6,Moderate
Alabama,2012,1,5,Low
Alabama,2012,2,10,High
Alabama,2012,3,10,High
Alabama,2012,3,5,Low
Alabama,2012,5,6,Moderate
Alabama,2012,6,2,Minimal
Alabama,2012,6,1,Minimal
Alabama,2012,8,1,Minimal
Alabama,2012,9,1,Minimal
Alabama,2012,9,1,Minimal
Alabama,2010,11,1,Minimal
Alabama,2010,12,8,High
Alabama,2011,1,10,High
Alabama,2011,2,10,High
Alabama,2011,3,10,High
Alabama,2011,4,1,Minimal
Alabama,2011,5,1,Minimal
Alabama,2011,6,1,Minimal
Alabama,2011,7,1,Minimal
Alabama,2011,8,1,Minimal
Alabama,2011,9,1,Minimal
Alabama,2011,10,1,Minimal
Alabama,2009,9,10,High
Alabama,2009,10,10,High
Alabama,2009,11,10,High
Alabama,2009,12,6,Moderate
Alabama,2010,1,2,Minimal
Alabama,2010,2,5,Low
Alabama,2010,3,6,Moderate
Alabama,2010,4,1,Minimal
Alabama,2010,5,1,Minimal
Alabama,2010,6,1,Minimal
Alabama,2010,7,1,Minimal
Alabama,2010,8,1,Minimal
Alabama,2010,9,1,Minimal
Alabama,2010,10,1,Minimal
Alabama,2009,1,1,Minimal
Alabama,2009,2,3,Minimal
Alabama,2009,3,5,Low
Alabama,2009,4,1,Minimal
Alabama,2009,5,1,Minimal
Alabama,2009,6,1,Minimal
Alabama,2009,7,1,Minimal
Alabama,2009,8,1,Minimal
Alabama,2009,8,1,Minimal
Arizona,2015,11,3,Minimal
Arizona,2015,12,4,Low
Arizona,2014,11,1,Minimal
