State,Year,Month,avgtemp(F)
Alabama,2000,1,46.5
Alabama,2000,2,52.3
Alabama,2000,3,58.9
Alabama,2000,4,60.1
Alabama,2000,5,74
Alabama,2000,6,77.6
Alabama,2000,7,81.9
Alabama,2000,8,81
Alabama,2000,9,73.9
Alabama,2000,10,64.7
Alabama,2000,11,52.8
Alabama,2000,12,39.2
Alabama,2001,1,41.2
Alabama,2001,2,52.6
Alabama,2001,3,51.4
Alabama,2001,4,64.7
Alabama,2001,5,70.6
Alabama,2001,6,75.9
Alabama,2001,7,79.7
Alabama,2001,8,78.5
Alabama,2001,9,71.9
Alabama,2001,10,60.6
Alabama,2001,11,58.8
Alabama,2001,12,50.6
Alabama,2002,1,46.8
Alabama,2002,2,46
Alabama,2002,3,55
Alabama,2002,4,66.4
Alabama,2002,5,70.3
Alabama,2002,6,77.2
Alabama,2002,7,80.3
Alabama,2002,8,79.7
Alabama,2002,9,77.3
Alabama,2002,10,67.8
Alabama,2002,11,51
Alabama,2002,12,45.2
Alabama,2003,1,40
Alabama,2003,2,48
Alabama,2003,3,57.6
Alabama,2003,4,63.3
Alabama,2003,5,71.7
Alabama,2003,6,75.6
Alabama,2003,7,78.5
Alabama,2003,8,79.5
Alabama,2003,9,73.1
Alabama,2003,10,63.5
Alabama,2003,11,58.2
Alabama,2003,12,44
Alabama,2004,1,44.2
Alabama,2004,2,45.4
Alabama,2004,3,59
Alabama,2004,4,61.2
Alabama,2004,5,72.7
Alabama,2004,6,76.8
Alabama,2004,7,79.2
Alabama,2004,8,76.3
Alabama,2004,9,73.8
Alabama,2004,10,68.5
Alabama,2004,11,57.8
Alabama,2004,12,45.1
Alabama,2005,1,49.2
Alabama,2005,2,51.2
Alabama,2005,3,53.5
Alabama,2005,4,61
Alabama,2005,5,68.3
Alabama,2005,6,76.7
Alabama,2005,7,80.4
Alabama,2005,8,80.5
Alabama,2005,9,76.9
Alabama,2005,10,63.8
Alabama,2005,11,55.8
Alabama,2005,12,43.4
Alabama,2006,1,51.1
Alabama,2006,2,46.1
Alabama,2006,3,56.1
Alabama,2006,4,67.5
Alabama,2006,5,70.4
Alabama,2006,6,78.1
Alabama,2006,7,81.9
Alabama,2006,8,82.3
Alabama,2006,9,72.8
Alabama,2006,10,61.9
Alabama,2006,11,52.8
Alabama,2006,12,49.4
Alabama,2007,1,46.7
Alabama,2007,2,44.9
Alabama,2007,3,60
Alabama,2007,4,60
Alabama,2007,5,71.2
Alabama,2007,6,78.8
Alabama,2007,7,79.3
Alabama,2007,8,84.4
Alabama,2007,9,76
Alabama,2007,10,66.5
Alabama,2007,11,53.6
Alabama,2007,12,51.6
Alabama,2008,1,43.1
Alabama,2008,2,49.2
Alabama,2008,3,55.2
Alabama,2008,4,62.8
Alabama,2008,5,70.3
Alabama,2008,6,78.7
Alabama,2008,7,80
Alabama,2008,8,78.4
Alabama,2008,9,74.5
Alabama,2008,10,62.2
Alabama,2008,11,51
Alabama,2008,12,49.7
Alabama,2009,1,45.3
Alabama,2009,2,48.2
Alabama,2009,3,57.3
Alabama,2009,4,61.4
Alabama,2009,5,71.2
Alabama,2009,6,79.4
Alabama,2009,7,78.1
Alabama,2009,8,78
Alabama,2009,9,75
Alabama,2009,10,62.9
Alabama,2009,11,53.4
Alabama,2009,12,44.8
Alabama,2010,1,40
Alabama,2010,2,40.6
Alabama,2010,3,51.2
Alabama,2010,4,64.2
Alabama,2010,5,73.3
Alabama,2010,6,80.9
Alabama,2010,7,82.6
Alabama,2010,8,83
Alabama,2010,9,76.9
Alabama,2010,10,64.3
Alabama,2010,11,55.2
Alabama,2010,12,40.3
Alabama,2011,1,41.1
Alabama,2011,2,49.5
Alabama,2011,3,57.8
Alabama,2011,4,65.7
Alabama,2011,5,69.9
Alabama,2011,6,81.3
Alabama,2011,7,81.7
Alabama,2011,8,81.8
Alabama,2011,9,72.1
Alabama,2011,10,60.6
Alabama,2011,11,55.3
Alabama,2011,12,49.3
Alabama,2012,1,50.1
Alabama,2012,2,52.1
Alabama,2012,3,64.6
Alabama,2012,4,65
Alabama,2012,5,73.4
