State,Year,Month,ActivityLevel,Temp,Precipitation,PMDI
California,2015,11,1,46.9,1.27,-4.8
California,2015,12,1,45.3,4.64,-3.92
California,2014,11,1,49.2,2.26,-4.08
California,2014,12,1,54.3,0.57,-4.2
California,2015,1,6,66.7,1.24,-3.51
California,2015,2,7,67.5,0.6,-3.27
California,2015,3,3,77.6,0.05,-3.27
California,2015,4,2,74.8,0.12,-3.28
California,2015,5,1,73,0.09,-3.43
California,2015,6,1,58.1,2.07,-1.78
California,2015,7,1,50.9,0.99,-2.99
California,2015,8,1,41.8,3.15,-2.99
California,2015,9,1,45.2,6.48,-1.14
California,2015,10,1,46.8,3.65,-0.76
California,2013,11,1,49,2.19,-1.36
California,2013,12,1,50.9,3.47,1.03
California,2014,1,8,56.9,1.07,1.5
California,2014,2,6,69.1,0.26,1.93
California,2014,3,2,76.1,0.07,1.94
California,2014,3,1,73.4,0.1,1.16
California,2014,5,1,70.4,0.16,0.16
California,2014,5,1,60.5,3,1.99
California,2014,6,1,48.6,2.6,1.84
California,2014,8,1,45.8,8.13,3.14
California,2014,8,1,45.2,1.28,0.89
California,2014,9,1,43.5,3.34,0.76
California,2012,11,1,48.7,6.41,3.03
California,2012,12,1,53.4,1.1,2.11
California,2013,1,2,57.6,1.44,2.82
California,2013,2,10,66.9,0.92,3.42
California,2013,3,2,74.2,0.22,3.84
California,2013,3,1,75.2,0.1,3.5
California,2013,5,1,72.3,0.28,2.62
California,2013,6,1,61.4,1.54,2.48
California,2013,6,1,48.2,1.69,1.34
California,2013,8,1,42.8,0.47,-1.53
California,2013,8,1,46.5,3.12,-2.27
California,2013,9,1,46.5,1.22,-3.18
California,2011,11,1,48.8,4.74,-1.61
California,2011,12,1,55.8,2.48,-0.59
California,2012,1,2,63.9,0.2,-1.25
California,2012,2,4,69.3,0.32,-1.22
California,2012,3,2,74.7,0.26,-1.16
California,2012,3,2,77.8,0.3,-0.99
California,2012,5,1,73.1,0.1,-1.68
California,2012,6,1,62.2,0.99,-1.97
California,2012,6,1,52.5,3.57,-1.11
California,2012,8,1,43,6.15,1.08
California,2012,9,1,42.1,1.19,-0.8
California,2012,9,1,45.3,0.58,-1.66
California,2010,11,1,53.8,1.33,-2.43
California,2010,12,1,58.2,0.71,-2.83
California,2011,1,1,63.8,0.62,-2.98
California,2011,2,4,72.4,0.38,-3.28
California,2011,3,6,78,0.28,-3.51
California,2011,4,1,74.4,0.38,-3.23
California,2011,5,1,69.3,0.77,-2.19
California,2011,6,1,58.5,0.26,-2.93
California,2011,7,1,51.9,0.99,-3.4
California,2011,8,1,44.1,0.44,-4.37
California,2011,9,1,50.1,0.54,-5.88
California,2011,10,1,49.8,4.02,-5.87
California,2009,9,3,53.5,3.28,-5.58
California,2009,10,10,57.7,1.06,-5.53
California,2009,11,10,64.6,0.35,-6.05
California,2009,12,6,71.9,0.06,-6.76
California,2010,1,5,78.4,0.22,-7.01
California,2010,2,6,74.9,0.45,-6.35
California,2010,3,6,72.2,0.72,-5.29
California,2010,4,5,64.4,1.06,-5.29
California,2010,5,2,53.1,1.84,-5.22
California,2010,6,4,46.8,6.3,-3.12
California,2010,7,1,48.6,0.65,-4.83
California,2010,8,1,53.2,2.86,-4.85
California,2010,9,1,56.9,0.78,-5.67
California,2010,10,1,56.7,1.06,-5.52
California,2009,1,1,60.8,0.93,-5.1
California,2009,2,2,74.4,0.23,-5.13
California,2009,3,2,75,0.67,-4.84
California,2009,4,1,76.5,0.08,-4.73
California,2009,5,3,72.1,0.33,-4.47
California,2009,6,1,65,0.9,-4.47
California,2009,7,1,47.6,1.87,-4.29
California,2009,8,1,42.3,4.69,-3.18
Oregon,2015,11,1,34.2,2.95,-2.65
Oregon,2015,12,1,35,2.43,-2.94
Oregon,2014,11,1,36.4,3.95,-1.96
Oregon,2014,12,1,43.4,2.01,-1.91
Oregon,2015,1,1,53.2,2.65,-1.2
Oregon,2015,2,1,58.4,2.19,-0.22
Oregon,2015,3,1,68,0.17,0.19
Oregon,2015,4,1,65.3,0.76,0.17
Oregon,2015,5,1,61.5,0.51,-0.87
Oregon,2015,6,1,45.1,2.96,-0.18
Oregon,2015,7,1,38.2,3.7,-0.54
Oregon,2015,8,1,28.5,3.34,-1.31
Oregon,2015,9,1,36.9,4.52,-1.53
Oregon,2015,10,1,37.6,2.59,-2.03
Oregon,2013,11,1,39.5,3.57,-1.88
Oregon,2013,12,1,42,3.89,0.58
Oregon,2014,1,8,46.5,3.02,1.53
Oregon,2014,2,1,55.6,2.85,2.18
Oregon,2014,3,1,65.3,0.23,2.44
Oregon,2014,3,1,63.5,0.39,2.27
Oregon,2014,5,1,58.5,1.54,2.29
Oregon,2014,5,1,50,3.59,2.45
Oregon,2014,6,1,36.7,4.62,2.4
Oregon,2014,8,1,33.4,7.1,2.96
Oregon,2014,8,1,33.9,3.15,1.23
Oregon,2014,9,1,32.7,3.25,0.72
Oregon,2012,11,1,37.9,6.37,2.86
Oregon,2012,12,1,39.5,3.94,3.64
Oregon,2013,1,6,46.5,3.4,4.17
Oregon,2013,2,8,54.9,1.45,3.82
Oregon,2013,3,4,62.7,0.67,3.89
Oregon,2013,3,1,66.1,0.08,3.09
Oregon,2013,5,1,62.6,0.23,1.06
Oregon,2013,6,1,49,2.06,0.24
Oregon,2013,6,1,37,3.54,-0.79
Oregon,2013,8,1,32.6,2.54,-2.16
Oregon,2013,8,1,34.4,5.82,-1.07
Oregon,2013,9,1,34.7,2.9,-1.66
Oregon,2011,11,1,38.3,7.19,1.69
Oregon,2011,12,1,45.9,3.32,1.92
Oregon,2012,1,1,50.8,1.89,1.48
Oregon,2012,2,1,55.5,2.45,2.04
Oregon,2012,3,1,66.3,0.45,2.23
Oregon,2012,3,1,67.7,0.08,1.09
Oregon,2012,5,1,61.8,0.09,-1.12
Oregon,2012,6,1,48.8,3.77,-0.06
Oregon,2012,6,1,40.6,5.39,0.51
Oregon,2012,8,1,31.5,6.73,1.82
Oregon,2012,9,1,29.7,2.6,-0.28
Oregon,2012,9,1,35.1,1.61,-1.6
