State,Year,Month,precipitation
Alabama,2000,01,4.69
Alabama,2000,02,1.99
Alabama,2000,03,5.05
Alabama,2000,04,4.83
Alabama,2000,05,1.32
Alabama,2000,06,3.71
Alabama,2000,07,2.26
Alabama,2000,08,2.36
Alabama,2000,09,3.50
Alabama,2000,10,0.80
Alabama,2000,11,7.70
Alabama,2000,12,4.29
Alabama,2001,01,4.69
Alabama,2001,02,4.10
Alabama,2001,03,10.11
Alabama,2001,04,3.88
Alabama,2001,05,4.03
Alabama,2001,06,7.15
Alabama,2001,07,3.95
Alabama,2001,08,5.48
Alabama,2001,09,4.80
Alabama,2001,10,3.27
Alabama,2001,11,3.43
Alabama,2001,12,4.14
Alabama,2002,01,5.11
Alabama,2002,02,2.99
Alabama,2002,03,5.79
Alabama,2002,04,2.19
Alabama,2002,05,4.09
Alabama,2002,06,3.77
Alabama,2002,07,5.38
Alabama,2002,08,3.24
Alabama,2002,09,7.58
Alabama,2002,10,5.58
Alabama,2002,11,4.88
Alabama,2002,12,6.54
Alabama,2003,01,2.33
Alabama,2003,02,6.76
Alabama,2003,03,4.67
Alabama,2003,04,6.41
Alabama,2003,05,8.49
Alabama,2003,06,8.17
Alabama,2003,07,7.74
Alabama,2003,08,5.70
Alabama,2003,09,3.70
Alabama,2003,10,1.61
Alabama,2003,11,4.67
Alabama,2003,12,3.47
Alabama,2004,01,3.27
Alabama,2004,02,7.06
Alabama,2004,03,2.28
Alabama,2004,04,3.37
Alabama,2004,05,4.00
Alabama,2004,06,7.53
Alabama,2004,07,4.43
Alabama,2004,08,4.48
Alabama,2004,09,6.63
Alabama,2004,10,3.87
Alabama,2004,11,8.12
Alabama,2004,12,4.84
Alabama,2005,01,2.86
Alabama,2005,02,4.96
Alabama,2005,03,5.85
Alabama,2005,04,7.60
Alabama,2005,05,2.80
Alabama,2005,06,6.37
Alabama,2005,07,9.19
Alabama,2005,08,6.01
Alabama,2005,09,3.29
Alabama,2005,10,0.61
Alabama,2005,11,3.59
Alabama,2005,12,3.95
Alabama,2006,01,5.23
Alabama,2006,02,5.05
Alabama,2006,03,2.97
Alabama,2006,04,3.07
Alabama,2006,05,4.41
Alabama,2006,06,2.01
Alabama,2006,07,3.33
Alabama,2006,08,3.91
Alabama,2006,09,3.53
Alabama,2006,10,5.13
Alabama,2006,11,4.84
Alabama,2006,12,4.06
Alabama,2007,01,4.34
Alabama,2007,02,2.64
Alabama,2007,03,1.56
Alabama,2007,04,3.91
Alabama,2007,05,0.73
Alabama,2007,06,2.78
Alabama,2007,07,5.20
Alabama,2007,08,2.67
Alabama,2007,09,3.11
Alabama,2007,10,3.93
Alabama,2007,11,2.75
Alabama,2007,12,4.25
Alabama,2008,01,4.09
Alabama,2008,02,5.79
Alabama,2008,03,4.01
Alabama,2008,04,4.53
Alabama,2008,05,4.43
Alabama,2008,06,2.69
Alabama,2008,07,4.04
Alabama,2008,08,8.89
Alabama,2008,09,1.65
Alabama,2008,10,3.02
Alabama,2008,11,3.15
Alabama,2008,12,6.78
Alabama,2009,01,4.42
Alabama,2009,02,3.85
Alabama,2009,03,8.98
Alabama,2009,04,4.45
Alabama,2009,05,8.51
Alabama,2009,06,2.71
Alabama,2009,07,5.59
Alabama,2009,08,5.49
Alabama,2009,09,7.57
Alabama,2009,10,7.18
Alabama,2009,11,4.39
Alabama,2009,12,10.64
Alabama,2010,01,6.21
Alabama,2010,02,4.22
Alabama,2010,03,5.07
Alabama,2010,04,2.82
Alabama,2010,05,6.15
Alabama,2010,06,3.26
Alabama,2010,07,3.50
Alabama,2010,08,4.84
Alabama,2010,09,1.61
Alabama,2010,10,2.59
Alabama,2010,11,4.73
Alabama,2010,12,2.20
Alabama,2011,01,4.03
Alabama,2011,02,3.49
Alabama,2011,03,8.17
Alabama,2011,04,5.08
Alabama,2011,05,1.64
Alabama,2011,06,3.55
